id,hash_key,schema_version,record_type,source_name,source_url,company,published_date,is_remote,role_family,collected_at
35,3d205d09905aa0fc9f1fb55b745474a6880cbf1927c4413b09f51455c63abf06,1.0,JOB,Arbeitnow,https://www.arbeitnow.fr/jobs/companies/artefact/stagiaire-consultant-sma-h-f-paris-9th-arrondissement-of-paris-75009-paris-134899,Artefact,2026-09-11T22:55:04Z,0,Engineering,2026-09-12T12:00:17.694919+00:00
36,44641628c56cc622644334fe8a5ffcc6cf97676eafa91cb6243d57af4794ee04,1.0,JOB,Arbeitnow,https://www.arbeitnow.fr/jobs/companies/artefact/stage-data-analyst-paris-9th-arrondissement-of-paris-75009-paris-123583,Artefact,2026-09-11T22:55:04Z,0,Engineering,2026-09-12T12:00:17.694958+00:00
37,66df9112f45b948326026309f0ea0643082f574fcfd162abe84c576214b9fab6,1.0,JOB,Arbeitnow,https://www.arbeitnow.fr/jobs/companies/artefact/stage-alternance-sales-development-representative-sdr-ai-innovation-ecosystem-9th-arrondissement-of-paris-75009-paris-116113,Artefact,2026-09-11T22:55:04Z,0,Engineering,2026-09-12T12:00:17.695013+00:00
38,31a8d53a012e02591d4fd177f8df26470d46f3f49171316c369f0f84e71a9dc0,1.0,JOB,Arbeitnow,https://www.arbeitnow.fr/jobs/companies/artefact/senior-data-analyst-9th-arrondissement-of-paris-75009-paris-198988,Artefact,2026-09-11T22:55:04Z,0,Engineering,2026-09-12T12:00:17.695055+00:00
39,ed62945af8db122363ccc4c00dd329589b3caee17fbf47fc1b39afa364de6005,1.0,JOB,Arbeitnow,https://www.arbeitnow.fr/jobs/companies/roadsurfer/rv-technician-toulouse-461840,Roadsurfer,2026-09-11T22:40:07Z,0,Engineering,2026-09-12T12:00:17.695094+00:00
40,a5caa5716ac0adc1f855660a80841f5aea4fad6ee71c04cb886739e3974ef2db,1.0,JOB,Arbeitnow,https://www.arbeitnow.fr/jobs/companies/roadsurfer/rv-technician-toulouse-356641,Roadsurfer,2026-09-11T22:40:07Z,0,Engineering,2026-09-12T12:00:17.695135+00:00
41,0ab4af58da148af1f19f3197a53310718fa833991aa3d94bab74e5c51db009b7,1.0,JOB,Arbeitnow,https://www.arbeitnow.fr/jobs/companies/roadsurfer/mecanicien-van-amenage-campeur-technicien-toulouse-203775,Roadsurfer,2026-09-11T22:40:07Z,0,Engineering,2026-09-12T12:00:17.695175+00:00
42,7f0c3bc037efed73ef9a0066f180775806e452fd0a20cb2b48af8523dc6ba38a,1.0,JOB,Arbeitnow,https://www.arbeitnow.fr/jobs/companies/castolin-eutectic/assistante-ressources-humaines-en-alternance-f-h-villebon-sur-yvette-57208,Castolin Eutectic,2026-09-11T19:30:10Z,0,Engineering,2026-09-12T12:00:17.695222+00:00
43,51b6c124c94c5d4740422c0abaca9ab81d31bcb76a4a9d6a1a0bbeb7798a7a32,1.0,JOB,Arbeitnow,https://www.arbeitnow.fr/jobs/companies/wppmedia/stage-consultant-data-tech-f-h-paris-298991,Wppmedia,2026-09-11T13:55:13Z,0,Engineering,2026-09-12T12:00:17.695273+00:00
44,3088c314f3ba10284315fcedba30d2df4e3262cc838b055b6332d3b25d4932fb,1.0,JOB,Arbeitnow,https://www.arbeitnow.fr/jobs/companies/wppmedia/stage-consultant-data-tech-f-h-paris-27769,Wppmedia,2026-09-11T13:55:13Z,0,Engineering,2026-09-12T12:00:17.695314+00:00
45,41567d2dd572f7d4714bdf2207968dc6ceb85e7c8e84304d491415fd75e48578,1.0,JOB,Arbeitnow,https://www.arbeitnow.fr/jobs/companies/wppmedia/director-enablement-global-clients-cdi-f-h-paris-270486,Wppmedia,2026-09-11T13:55:13Z,0,Engineering,2026-09-12T12:00:17.695353+00:00
46,4f0c8f4e4ffc8b62e5cff82c8ff5f55e39d2eca5801b2b3079b91e14da99de18,1.0,JOB,Arbeitnow,https://www.arbeitnow.fr/jobs/companies/transperfect/business-development-manager-ai-data-solutions-paris-197443,Transperfect,2026-09-11T13:30:18Z,0,Engineering,2026-09-12T12:00:17.695400+00:00
47,0513210d395d071cc96812e8d3e56780d03d6c0cef7433f4f30e0adc33ff2385,1.0,JOB,Arbeitnow,https://www.arbeitnow.fr/jobs/companies/transperfect/business-development-manager-ai-data-solutions-paris-173909,Transperfect,2026-09-11T13:30:18Z,0,Engineering,2026-09-12T12:00:17.695438+00:00
